symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
BILLYUSDT,2025-01-12 15:40:00+09:00,0.01259,0.01261,0.01259,0.01261,2180.0,77000360.0,0.0001,0.159,-99.316,-0.412,False
BIOUSDT,2025-01-12 15:40:00+09:00,0.456,0.456,0.4543,0.4546,66331.0,23571350.0,0.0001,-1.174,-35.999,0.813,False
BLASTUSDT,2025-01-12 15:40:00+09:00,0.008981,0.008987,0.008978,0.008981,326730.0,436894940.0,0.0001,-0.443,-86.347,0.59,False
BLUEUSDT,2025-01-12 15:40:00+09:00,0.3252,0.32542,0.3252,0.32536,1376.0,4800270.0,0.0001,-0.983,-94.024,-1.372,False
BLURUSDT,2025-01-12 15:40:00+09:00,0.2271,0.2271,0.227,0.2271,4587.0,51150277.0,0.0001,-0.351,-98.651,0.937,False
BNBUSDT,2025-01-12 15:40:00+09:00,694.1,694.1,694.0,694.05,2.44,155600.65,0.0001,-0.043,-93.462,-0.109,False
BNTUSDT,2025-01-12 15:40:00+09:00,0.63945,0.63965,0.63945,0.63965,34.0,1129717.0,0.0001,-0.327,-90.423,0.057,False
BNXUSDT,2025-01-12 15:40:00+09:00,0.3728,0.3728,0.3727,0.3727,877.6,7721967.5,0.0001,-0.427,-76.902,0.105,False
BOBAUSDT,2025-01-12 15:40:00+09:00,0.18977,0.18978,0.18974,0.18974,995.2,5109143.9,0.0001,-0.111,71.912,0.248,False
BOMEUSDT,2025-01-12 15:40:00+09:00,0.005706,0.005706,0.0057,0.005703,142500.0,2869920400.0,0.0001,-0.28,-94.229,-0.242,False
BRETTUSDT,2025-01-12 15:40:00+09:00,0.11874,0.11891,0.11871,0.11891,9340.0,268658880.0,0.0001,0.101,-96.54,0.021,False
BSVUSDT,2025-01-12 15:40:00+09:00,56.68,56.68,56.66,56.68,19.36,86086.55,0.0001,0.693,-82.953,0.523,False
BSWUSDT,2025-01-12 15:40:00+09:00,0.0668,0.06682,0.0668,0.0668,2030.0,10268849.0,0.0001,-0.373,-51.907,-0.759,False
BTCUSDT,2025-01-12 15:40:00+09:00,94443.8,94453.3,94442.2,94453.2,3.832,65139.937,0.0001,-0.03,-93.381,0.132,False
C98USDT,2025-01-12 15:40:00+09:00,0.1532,0.1532,0.1532,0.1532,2787.4,25124775.6,0.0001,-0.455,-71.731,-0.094,False
CAKEUSDT,2025-01-12 15:40:00+09:00,2.306,2.306,2.306,2.306,0.0,4152786.0,0.0001,-0.26,-100.0,0.032,False
CARVUSDT,2025-01-12 15:40:00+09:00,0.8217,0.8217,0.8217,0.8217,0.0,10505601.0,-0.00365,-0.291,-100.0,0.03,False
CATIUSDT,2025-01-12 15:40:00+09:00,0.3028,0.3028,0.3026,0.3027,1351.0,15911574.0,0.0001,-0.099,-70.952,0.22,False
CELOUSDT,2025-01-12 15:40:00+09:00,0.6428,0.6428,0.6426,0.6426,3024.8,7074037.9,0.0001,-0.186,-57.349,0.353,False
CELRUSDT,2025-01-12 15:40:00+09:00,0.01669,0.01669,0.01669,0.01669,4336.0,147625226.0,0.0001,-0.358,-98.838,-0.63,False
CETUSUSDT,2025-01-12 15:40:00+09:00,0.30867,0.30869,0.3086,0.30869,1085.0,11720326.0,0.0001,-0.197,-93.245,-0.104,False
CFXUSDT,2025-01-12 15:40:00+09:00,0.14644,0.14645,0.14642,0.14645,2063.0,40189920.0,0.0001,-0.435,-93.796,-0.3,False
CGPTUSDT,2025-01-12 15:40:00+09:00,0.31797,0.31807,0.3175,0.31766,48450.0,19224510.0,5e-05,1.149,-86.907,2.02,False
CHESSUSDT,2025-01-12 15:40:00+09:00,0.1862,0.1863,0.1862,0.1863,138.0,5182082.0,0.0001,-0.107,-87.5,-0.319,False
CHILLGUYUSDT,2025-01-12 15:40:00+09:00,0.1267,0.1268,0.1266,0.1268,38922.0,101485109.0,0.0001,0.079,-79.621,0.358,False
CHRUSDT,2025-01-12 15:40:00+09:00,0.2131,0.2132,0.213,0.2132,3376.4,10164635.5,0.0001,-0.141,77.743,0.577,False
CHZUSDT,2025-01-12 15:40:00+09:00,0.08282,0.08282,0.08274,0.08278,10138.0,94041539.0,0.0001,-0.469,-92.765,-0.114,False
CKBUSDT,2025-01-12 15:40:00+09:00,0.011087,0.011087,0.011083,0.011086,45890.0,261112550.0,0.0001,-0.368,-51.357,-0.186,False
