symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
ANKRUSDT,2025-01-10 00:00:00+09:00,0.03523,0.03579,0.03499,0.03567,5370130.0,150505476.0,0.0001,2.089,63.904,0.19
APEUSDT,2025-01-10 00:00:00+09:00,1.0877,1.1021,1.0813,1.1008,766823.7,15118168.3,0.0001,3.013,259.422,2.402
API3USDT,2025-01-10 00:00:00+09:00,1.45,1.473,1.445,1.472,12182.0,1835387.8,5.6e-05,2.578,180.346,1.068
APTUSDT,2025-01-10 00:00:00+09:00,8.628,8.7375,8.5835,8.731,136015.52,8118952.85,9.2e-05,2.057,123.336,0.197
ARBUSDT,2025-01-10 00:00:00+09:00,0.7509,0.7631,0.7479,0.7631,1897379.6,74916012.3,3.8e-05,2.982,287.239,-0.437
ARCUSDT,2025-01-10 00:00:00+09:00,0.28052,0.29632,0.277,0.29612,1343017.0,16897675.0,5e-05,9.65,-20.485,4.149
ARKMUSDT,2025-01-10 00:00:00+09:00,1.3223,1.3415,1.3142,1.3406,125257.0,9910844.0,8.7e-05,3.028,258.874,1.046
ARKUSDT,2025-01-10 00:00:00+09:00,0.644,0.6522,0.6418,0.6488,861716.0,6744909.0,0.0001,2.045,78.019,0.509
ARPAUSDT,2025-01-10 00:00:00+09:00,0.04509,0.04565,0.04494,0.0456,202590.0,23431850.0,0.0001,2.242,-1.712,0.201
ARUSDT,2025-01-10 00:00:00+09:00,15.253,15.447,15.156,15.447,23369.2,1457016.0,4.3e-05,2.932,548.971,1.106
ASTRUSDT,2025-01-10 00:00:00+09:00,0.059435,0.060215,0.059205,0.06013,1151660.0,55913125.0,0.0001,2.175,316.873,0.097
ATAUSDT,2025-01-10 00:00:00+09:00,0.14539,0.14792,0.1442,0.1477,750460.0,13467550.0,0.0001,2.024,337.217,2.427
ATHUSDT,2025-01-10 00:00:00+09:00,0.06289,0.06365,0.06263,0.06361,1938390.0,258507010.0,-0.000175,2.597,308.133,0.014
ATOMUSDT,2025-01-10 00:00:00+09:00,6.375,6.445,6.338,6.444,90195.7,7152154.5,2.8e-05,2.172,134.826,0.772
AUCTIONUSDT,2025-01-10 00:00:00+09:00,15.328,15.529,15.251,15.498,3023.6,340464.9,0.000315,2.547,60.748,-1.888
AUDIOUSDT,2025-01-10 00:00:00+09:00,0.1422,0.1439,0.1416,0.1439,186820.3,19562026.5,0.0001,2.129,65.547,0.968
AVAAIUSDT,2025-01-10 00:00:00+09:00,0.16913,0.1879,0.16859,0.18685,6665168.0,12597562.0,0.0001,11.26,115.895,-0.719
AVAILUSDT,2025-01-10 00:00:00+09:00,0.11188,0.11294,0.11166,0.11276,162925.0,13895301.0,0.0001,1.212,114.014,1.265
AVAUSDT,2025-01-10 00:00:00+09:00,1.0993,1.1101,1.0911,1.1101,58739.8,1646649.2,0.0001,2.238,143.019,0.835
AVAXUSDT,2025-01-10 00:00:00+09:00,36.28,36.59,36.115,36.58,73754.3,3378572.2,-0.000116,2.494,250.105,1.915
AXLUSDT,2025-01-10 00:00:00+09:00,0.6016,0.609,0.5985,0.6089,63216.0,6331371.0,0.0001,2.319,101.944,0.054
AXSUSDT,2025-01-10 00:00:00+09:00,6.105,6.206,6.07,6.199,71331.3,2652067.7,-0.000405,2.193,89.722,-0.157
BADGERUSDT,2025-01-10 00:00:00+09:00,3.758,3.807,3.741,3.805,4869.3,890907.7,0.0001,2.977,49.552,-10.923
BAKEUSDT,2025-01-10 00:00:00+09:00,0.2268,0.23,0.2256,0.2297,90625.0,13575647.5,0.0001,2.774,168.299,-0.899
BALUSDT,2025-01-10 00:00:00+09:00,2.419,2.456,2.414,2.455,5453.89,465808.88,0.0001,2.634,223.142,1.033
BANANAUSDT,2025-01-10 00:00:00+09:00,42.688,42.688,40.63,41.051,16935.66,49964.78,0.0001,-1.743,301.995,-0.408
BANDUSDT,2025-01-10 00:00:00+09:00,1.325,1.342,1.318,1.342,11488.4,1372257.39999999,0.0001,2.131,233.225,-0.942
BANUSDT,2025-01-10 00:00:00+09:00,0.051,0.0523,0.0508,0.0521,10632766.0,180861848.0,0.0001,3.785,40.613,1.033
BATUSDT,2025-01-10 00:00:00+09:00,0.2474,0.2515,0.2457,0.2514,676558.9,15139107.4,6.4e-05,2.696,38.043,-5.905
BBUSDT,2025-01-10 00:00:00+09:00,0.3491,0.3526,0.3468,0.3522,287866.0,6008250.0,0.0001,2.384,82.183,-3.858
BCHUSDT,2025-01-10 00:00:00+09:00,421.5,426.3,420.6,425.9,1853.19,110332.13,-9.2e-05,2.899,600.777,-3.776
BEAMUSDT,2025-01-10 00:00:00+09:00,0.022822,0.023153,0.0227,0.023128,7544400.0,569236300.0,0.0001,2.518,202.803,2.764
BELUSDT,2025-01-10 00:00:00+09:00,0.5177,0.5245,0.5148,0.5242,34173.0,2310225.0,0.0001,1.965,151.575,-0.541
BENDOGUSDT,2025-01-10 00:00:00+09:00,0.008638,0.008722,0.008574,0.008722,1054310.0,306029260.0,0.0001,2.551,120.398,-0.529
BICOUSDT,2025-01-10 00:00:00+09:00,0.2697,0.2739,0.2683,0.2737,84482.0,6512440.3,0.0001,2.28,303.27,1.293
BIGTIMEUSDT,2025-01-10 00:00:00+09:00,0.12344,0.1252,0.12282,0.12507,1355528.0,57558995.0,0.0001,2.643,170.825,-2.677
BILLYUSDT,2025-01-10 00:00:00+09:00,0.01424,0.01451,0.01414,0.0145,1236690.0,77850980.0,0.0001,5.455,7.453,-0.502
BIOUSDT,2025-01-10 00:00:00+09:00,0.5184,0.5292,0.5141,0.5292,1037489.0,20391467.0,0.0001,0.858,142.696,-4.216
BLASTUSDT,2025-01-10 00:00:00+09:00,0.008481,0.008568,0.008418,0.008568,44933000.0,455812400.0,0.0001,1.481,76.54,4.922
