symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
COOKUSDT,2025-01-09 21:00:00+09:00,0.03029,0.03104,0.02908,0.031,12051220.0,68199480.0,0.0001,1.307,-15.819,-3.98,False,False
COREUSDT,2025-01-09 21:00:00+09:00,1.0173,1.0242,0.9772,1.0224,852290.8,7196957.9,0.0001,-1.322,-24.719,1.749,False,False
COSUSDT,2025-01-09 21:00:00+09:00,0.007031,0.007115,0.006798,0.007104,19134240.0,94884970.0,0.0001,-0.851,-26.805,-1.878,False,True
COTIUSDT,2025-01-09 21:00:00+09:00,0.10955,0.11051,0.10406,0.11019,7057812.0,46389957.0,0.0001,-2.297,-18.385,-1.834,False,False
COWUSDT,2025-01-09 21:00:00+09:00,0.7241,0.7321,0.6841,0.7269,4212398.0,7343560.0,0.0001,-1.504,1.842,1.934,False,False
CROUSDT,2025-01-09 21:00:00+09:00,0.14093,0.1413,0.1353,0.14016,12229388.0,62262515.0,1.5e-05,-2.362,-10.128,0.884,False,False
CRVUSDT,2025-01-09 21:00:00+09:00,0.826,0.8419,0.7852,0.8367,15159444.5,62801493.9,0.0001,-1.111,-17.845,-2.732,False,False
CTCUSDT,2025-01-09 21:00:00+09:00,1.0469,1.0595,1.0076,1.0593,3080006.0,5878101.0,-0.000336,-0.824,7.676,-4.982,False,True
CTKUSDT,2025-01-09 21:00:00+09:00,0.7567,0.7567,0.7188,0.7537,270258.4,2358048.6,5e-05,-0.317,-39.428,-3.095,False,True
CTSIUSDT,2025-01-09 21:00:00+09:00,0.14758,0.14807,0.14069,0.14758,1240409.0,10844014.0,0.0001,-0.94,-8.66,-0.255,False,True
CVCUSDT,2025-01-09 21:00:00+09:00,0.17774,0.18008,0.17192,0.17854,17593588.0,27072805.0,0.0001,1.57,16.302,6.579,False,False
CVXUSDT,2025-01-09 21:00:00+09:00,4.444,4.453,4.108,4.302,508686.17,1517569.72,0.001051,0.702,24.952,-7.503,False,True
CYBERUSDT,2025-01-09 21:00:00+09:00,3.126,3.144,2.992,3.139,184441.0,1128960.6,0.0001,-0.318,-18.79,-0.272,False,True
DASHUSDT,2025-01-09 21:00:00+09:00,37.18,37.47,35.71,37.39,10260.23,141679.0,0.0001,-0.611,-35.401,-0.616,False,True
DATAUSDT,2025-01-09 21:00:00+09:00,0.04601,0.04635,0.04382,0.04549,3481990.0,9734810.0,0.0001,-1.023,40.551,-1.648,False,False
DBRUSDT,2025-01-09 21:00:00+09:00,0.03287,0.033,0.0314,0.0327,15362010.0,66413230.0,0.0001,-2.359,-31.799,-3.383,False,False
DEEPUSDT,2025-01-09 21:00:00+09:00,0.14814,0.15006,0.14085,0.14828,44790120.0,98758010.0,6.1e-05,-5.373,-14.429,3.055,False,False
DEGENUSDT,2025-01-09 21:00:00+09:00,0.010157,0.010278,0.009716,0.010227,253606320.0,804065210.0,0.0001,-3.034,-34.342,1.305,False,False
DENTUSDT,2025-01-09 21:00:00+09:00,0.0012711,0.001279,0.0012113,0.0012732,243253300.0,1011503900.0,0.0001,-2.497,-15.956,-4.2,False,False
DEXEUSDT,2025-01-09 21:00:00+09:00,14.598,15.002,14.312,14.844,93205.4,203282.9,0.0001,2.394,-36.669,-1.118,False,False
DGBUSDT,2025-01-09 21:00:00+09:00,0.012458,0.012511,0.011815,0.012473,45472040.0,171130910.0,0.0001,-0.312,-37.7,-1.542,False,True
DODOUSDT,2025-01-09 21:00:00+09:00,0.14276,0.14295,0.13575,0.14251,753142.0,11232520.0,0.0001,-1.377,33.439,-9.904,False,False
DOGEUSDT,2025-01-09 21:00:00+09:00,0.33008,0.33323,0.31741,0.33224,714294862.0,1987463410.0,0.0001,-1.701,-28.928,1.574,False,False
DOGSUSDT,2025-01-09 21:00:00+09:00,0.0004438,0.0004493,0.000428,0.0004484,6252176700.0,22858298800.0,0.0001,1.793,-56.755,-2.346,False,False
DOGUSDT,2025-01-09 21:00:00+09:00,0.005808,0.005933,0.005508,0.00591,586824200.0,2210665500.0,0.0001,0.922,-30.706,2.563,False,True
DOP1USDT,2025-01-09 21:00:00+09:00,0.00125,0.001258,0.001183,0.001242,119923560.0,925937420.0,0.0001,-0.64,-44.381,0.563,False,True
DOTUSDT,2025-01-09 21:00:00+09:00,6.682,6.773,6.458,6.758,2476684.8,11528780.2,8e-05,0.461,-45.267,-1.566,False,True
DRIFTUSDT,2025-01-09 21:00:00+09:00,1.1526,1.1692,1.1167,1.1658,3709135.0,14257835.0,0.000903,-1.103,-9.62,2.959,False,False
