symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
BAKEUSDT,2025-01-16 23:00:00+09:00,0.2441,0.2445,0.2426,0.2444,37768.9,0.0,0.000229,0.908,-73.366,0.0,False
BALUSDT,2025-01-16 23:00:00+09:00,2.551,2.557,2.534,2.557,5333.2,0.0,0.0001,-0.117,55.357,0.0,False
BANANAUSDT,2025-01-16 23:00:00+09:00,38.688,38.78,38.214,38.749,4696.09,0.0,0.000718,-0.072,-13.46,0.0,False
BANDUSDT,2025-01-16 23:00:00+09:00,1.394,1.397,1.385,1.394,11721.7,0.0,0.0001,-0.429,-76.077,0.0,False
BANUSDT,2025-01-16 23:00:00+09:00,0.06666,0.06683,0.06601,0.06682,5951774.0,0.0,0.0001,-2.566,-88.516,0.0,False
BATUSDT,2025-01-16 23:00:00+09:00,0.2563,0.2573,0.2552,0.257,311660.3,0.0,0.0001,1.261,-33.755,0.0,False
BBUSDT,2025-01-16 23:00:00+09:00,0.3453,0.3463,0.3431,0.3462,60013.0,0.0,0.0001,0.377,-86.253,0.0,False
BCHUSDT,2025-01-16 23:00:00+09:00,457.3,458.8,455.4,458.6,1857.66,0.0,0.0001,0.416,-57.426,0.0,False
BEAMUSDT,2025-01-16 23:00:00+09:00,0.023213,0.023252,0.023012,0.023252,4074500.0,0.0,0.000601,-0.266,-86.357,0.0,False
BELUSDT,2025-01-16 23:00:00+09:00,0.572,0.5731,0.5687,0.5731,18766.0,0.0,0.0001,-1.292,-95.973,0.0,False
BENDOGUSDT,2025-01-16 23:00:00+09:00,0.007782,0.007816,0.00775,0.007812,294340.0,0.0,0.000989,-1.201,-93.234,0.0,False
BICOUSDT,2025-01-16 23:00:00+09:00,0.2899,0.2906,0.2875,0.29,43636.1,0.0,0.0001,0.45,-86.067,0.0,False
BIGTIMEUSDT,2025-01-16 23:00:00+09:00,0.12144,0.12172,0.12064,0.12169,631582.0,0.0,0.00122,0.628,-44.516,0.0,False
BILLYUSDT,2025-01-16 23:00:00+09:00,0.01248,0.0127,0.01237,0.01268,1133700.0,0.0,0.0001,-0.86,-86.376,0.0,False
BIOUSDT,2025-01-16 23:00:00+09:00,0.4084,0.4088,0.405,0.4082,113714.0,0.0,0.0001,-1.781,-93.311,0.0,False
BLASTUSDT,2025-01-16 23:00:00+09:00,0.008887,0.008919,0.008855,0.008919,5609850.0,0.0,0.0001,-0.201,-70.44,0.0,False
BLUEUSDT,2025-01-16 23:00:00+09:00,0.26599,0.26708,0.2633,0.26539,189585.0,0.0,0.0001,2.594,-68.174,0.0,False
BLURUSDT,2025-01-16 23:00:00+09:00,0.2264,0.2273,0.2254,0.2273,402285.0,0.0,0.0001,0.664,-66.692,0.0,False
BNBUSDT,2025-01-16 23:00:00+09:00,709.0,709.85,706.95,709.35,841.73,0.0,0.00015,-0.575,-80.895,0.0,False
BNTUSDT,2025-01-16 23:00:00+09:00,0.67925,0.68125,0.67655,0.6789,6846.0,0.0,0.0001,0.022,-55.551,0.0,False
BNXUSDT,2025-01-16 23:00:00+09:00,0.3841,0.3847,0.3813,0.3842,45432.4,0.0,0.000482,-1.259,-90.147,0.0,False
BOBAUSDT,2025-01-16 23:00:00+09:00,0.19558,0.19562,0.1951,0.19558,45390.0,0.0,0.0001,0.328,-70.83,0.0,False
BOMEUSDT,2025-01-16 23:00:00+09:00,0.00571,0.005733,0.00567,0.005732,34747500.0,0.0,0.000405,0.297,-87.915,0.0,False
BRETTUSDT,2025-01-16 23:00:00+09:00,0.1255,0.12638,0.12453,0.12628,2440150.0,0.0,0.001154,2.725,-66.931,0.0,False
BSVUSDT,2025-01-16 23:00:00+09:00,56.66,56.85,56.36,56.85,449.0,0.0,0.000229,0.798,-77.849,0.0,False
BSWUSDT,2025-01-16 23:00:00+09:00,0.06795,0.06823,0.0677,0.06823,50115.0,0.0,0.00035,0.088,-90.272,0.0,False
BTCUSDT,2025-01-16 23:00:00+09:00,99050.0,99138.5,98812.6,99111.5,940.822,0.0,0.000391,-0.014,-72.719,0.0,False
C98USDT,2025-01-16 23:00:00+09:00,0.1527,0.1531,0.1514,0.1531,320716.5,0.0,0.0001,-0.326,-61.716,0.0,False
CAKEUSDT,2025-01-16 23:00:00+09:00,2.461,2.471,2.452,2.471,12863.2,0.0,0.0001,0.734,-87.557,0.0,False
CARVUSDT,2025-01-16 23:00:00+09:00,0.7683,0.7686,0.7639,0.7686,39890.0,0.0,-0.003542,-0.723,-59.455,0.0,False
CATIUSDT,2025-01-16 23:00:00+09:00,0.3191,0.3206,0.3173,0.3206,125657.0,0.0,0.000238,1.04,-80.19,0.0,False
CELOUSDT,2025-01-16 23:00:00+09:00,0.647,0.6487,0.6442,0.6487,39927.9,0.0,0.0001,0.62,-77.704,0.0,False
CELRUSDT,2025-01-16 23:00:00+09:00,0.01763,0.01767,0.01741,0.01759,2823005.0,0.0,0.0001,0.057,-36.472,0.0,False
CETUSUSDT,2025-01-16 23:00:00+09:00,0.31491,0.31701,0.31296,0.31681,97776.0,0.0,0.001074,1.35,-68.254,0.0,False
CFXUSDT,2025-01-16 23:00:00+09:00,0.16796,0.16986,0.16751,0.16976,420975.0,0.0,0.0001,2.044,-91.473,0.0,False
CGPTUSDT,2025-01-16 23:00:00+09:00,0.38771,0.39041,0.38294,0.38876,3929319.0,0.0,5e-05,-7.583,-61.476,0.0,False
CHESSUSDT,2025-01-16 23:00:00+09:00,0.1912,0.1915,0.1901,0.1913,14176.0,0.0,0.0001,-0.313,-79.962,0.0,False
CHILLGUYUSDT,2025-01-16 23:00:00+09:00,0.1242,0.1243,0.1224,0.1243,2894896.0,0.0,0.0001,-0.08,-65.387,0.0,False
CHRUSDT,2025-01-16 23:00:00+09:00,0.2198,0.2205,0.2184,0.2203,82273.1,0.0,0.0001,0.962,-76.614,0.0,False
CHZUSDT,2025-01-16 23:00:00+09:00,0.08602,0.08633,0.08567,0.08633,888130.0,0.0,0.0001,0.912,-71.882,0.0,False
CKBUSDT,2025-01-16 23:00:00+09:00,0.011035,0.011052,0.010951,0.011051,4368730.0,0.0,0.00023,0.619,-72.084,0.0,False
CLOUDUSDT,2025-01-16 23:00:00+09:00,0.1552,0.1561,0.1541,0.1551,260571.0,0.0,0.000147,-0.641,-83.008,0.0,False
COMBOUSDT,2025-01-16 23:00:00+09:00,0.4161,0.4172,0.4137,0.4166,7042.6,0.0,0.0001,-0.715,-89.595,0.0,False
COMPUSDT,2025-01-16 23:00:00+09:00,82.54,82.68,81.92,82.62,5880.72,0.0,0.0001,0.891,102.497,0.0,False
COOKIEUSDT,2025-01-16 23:00:00+09:00,0.5598,0.5629,0.5538,0.5629,957359.0,0.0,0.0001,-3.975,-79.515,0.0,False
COOKUSDT,2025-01-16 23:00:00+09:00,0.03122,0.03129,0.03102,0.03129,69700.0,0.0,0.0001,-0.54,-86.846,0.0,False
COREUSDT,2025-01-16 23:00:00+09:00,1.0041,1.0075,0.9999,1.0075,24090.5,0.0,0.0001,0.609,-84.088,0.0,False
COSUSDT,2025-01-16 23:00:00+09:00,0.007111,0.00713,0.007078,0.007127,745150.0,0.0,0.0001,-0.28,-71.767,0.0,False
COTIUSDT,2025-01-16 23:00:00+09:00,0.12079,0.12135,0.11973,0.12133,362493.0,0.0,0.000868,1.277,-61.66,0.0,False
COWUSDT,2025-01-16 23:00:00+09:00,0.7725,0.7734,0.7623,0.7713,514538.0,0.0,0.000344,0.221,-33.804,0.0,False
CROUSDT,2025-01-16 23:00:00+09:00,0.14372,0.14519,0.14364,0.14517,893261.0,0.0,0.000644,2.463,-64.419,0.0,False
CRVUSDT,2025-01-16 23:00:00+09:00,0.9525,0.9569,0.947,0.9545,968176.0,0.0,0.000184,0.463,-60.72,0.0,False
CTCUSDT,2025-01-16 23:00:00+09:00,1.0996,1.1016,1.0976,1.1016,46780.0,0.0,5e-05,-0.217,-82.962,0.0,False
CTKUSDT,2025-01-16 23:00:00+09:00,0.8122,0.8135,0.8038,0.8123,30320.5,0.0,-3.7e-05,1.385,-72.654,0.0,False
CTSIUSDT,2025-01-16 23:00:00+09:00,0.15056,0.15083,0.14955,0.15057,166924.0,0.0,0.0001,-0.219,25.196,0.0,False
CVCUSDT,2025-01-16 23:00:00+09:00,0.16762,0.16856,0.16713,0.16852,330876.0,0.0,0.0001,-0.172,-74.709,0.0,False
CVXUSDT,2025-01-16 23:00:00+09:00,4.61,4.622,4.575,4.614,19347.02,0.0,0.000157,-0.646,-49.052,0.0,False
CYBERUSDT,2025-01-16 23:00:00+09:00,3.152,3.157,3.124,3.153,40908.0,0.0,0.0001,0.127,85.982,0.0,False
DASHUSDT,2025-01-16 23:00:00+09:00,39.71,39.91,39.55,39.9,694.16,0.0,0.0001,0.529,-57.17,0.0,False
DATAUSDT,2025-01-16 23:00:00+09:00,0.04395,0.04401,0.04366,0.04393,236940.0,0.0,0.0001,0.228,-20.817,0.0,False
DBRUSDT,2025-01-16 23:00:00+09:00,0.02912,0.02921,0.02905,0.02919,287590.0,0.0,0.000759,-0.137,-79.98,0.0,False
DEEPUSDT,2025-01-16 23:00:00+09:00,0.17485,0.17715,0.17331,0.17685,2206200.0,0.0,0.000404,2.814,-35.075,0.0,False
DEGENUSDT,2025-01-16 23:00:00+09:00,0.009803,0.009844,0.009725,0.009838,13047210.0,0.0,0.000456,0.326,-77.374,0.0,False
DENTUSDT,2025-01-16 23:00:00+09:00,0.0013254,0.0013329,0.0013209,0.0013329,22716300.0,0.0,0.0001,0.939,30.53,0.0,False
DEXEUSDT,2025-01-16 23:00:00+09:00,16.815,16.816,16.7,16.808,2910.3,0.0,0.0001,-1.135,-82.723,0.0,False
DGBUSDT,2025-01-16 23:00:00+09:00,0.012701,0.012744,0.012636,0.01265,2033570.0,0.0,0.0001,-1.334,-67.602,0.0,False
DODOUSDT,2025-01-16 23:00:00+09:00,0.1428,0.14292,0.14177,0.14265,105639.0,0.0,0.0001,-0.433,16.042,0.0,False
DOGEUSDT,2025-01-16 23:00:00+09:00,0.37822,0.37984,0.37614,0.37945,42256319.0,0.0,0.00023,0.498,-64.316,0.0,False
DOGSUSDT,2025-01-16 23:00:00+09:00,0.000455,0.000456,0.0004518,0.0004557,390404800.0,0.0,0.00054,0.286,-45.106,0.0,False
DOGUSDT,2025-01-16 23:00:00+09:00,0.005465,0.005482,0.005427,0.00547,13182100.0,0.0,0.000153,-0.128,-78.874,0.0,False
DOP1USDT,2025-01-16 23:00:00+09:00,0.001183,0.001184,0.00117,0.00118,7399430.0,0.0,0.0001,-0.085,-56.231,0.0,False
DOTUSDT,2025-01-16 23:00:00+09:00,7.169,7.2,7.141,7.194,156387.4,0.0,0.0001,1.653,-76.108,0.0,False
DRIFTUSDT,2025-01-16 23:00:00+09:00,1.1428,1.1463,1.1393,1.1447,379419.0,0.0,5e-05,-1.131,-41.068,0.0,False
DUCKUSDT,2025-01-16 23:00:00+09:00,0.010922,0.011175,0.01059,0.01094,86125860.0,0.0,5e-05,-5.224,-87.853,0.0,False
DUSKUSDT,2025-01-16 23:00:00+09:00,0.21404,0.2147,0.21248,0.21433,40260.0,0.0,0.0001,-0.284,-70.061,0.0,False
DYDXUSDT,2025-01-16 23:00:00+09:00,1.342,1.346,1.332,1.345,255373.4,0.0,0.000107,0.9,-46.999,0.0,False
DYMUSDT,2025-01-16 23:00:00+09:00,1.248,1.251,1.242,1.25,20715.7,0.0,0.0001,0.563,-86.487,0.0,False
EDUUSDT,2025-01-16 23:00:00+09:00,0.5449,0.5464,0.5423,0.5462,34159.2,0.0,0.0001,0.887,-35.048,0.0,False
EGLDUSDT,2025-01-16 23:00:00+09:00,36.07,36.23,35.91,36.15,6650.44,0.0,0.0001,-0.221,-85.972,0.0,False
EIGENUSDT,2025-01-16 23:00:00+09:00,3.2978,3.3082,3.2751,3.307,37401.0,0.0,0.000345,-0.265,-83.995,0.0,False
ENAUSDT,2025-01-16 23:00:00+09:00,0.9301,0.9354,0.9178,0.9346,2777169.0,0.0,0.0001,3.157,-72.329,0.0,False
ENJUSDT,2025-01-16 23:00:00+09:00,0.2083,0.209,0.2071,0.2089,202496.4,0.0,0.0001,-0.143,-45.791,0.0,False
ENSUSDT,2025-01-16 23:00:00+09:00,33.574,33.668,33.391,33.656,12047.2,0.0,0.0001,-0.225,-54.218,0.0,False
EOSUSDT,2025-01-16 23:00:00+09:00,0.8759,0.882,0.8742,0.882,238816.6,0.0,0.000432,1.883,-85.23,0.0,False
ETCUSDT,2025-01-16 23:00:00+09:00,26.786,26.885,26.683,26.881,10814.1,0.0,0.0001,0.802,-75.765,0.0,False
ETHBTCUSDT,2025-01-16 23:00:00+09:00,0.033655,0.033678,0.033635,0.033678,76790.0,0.0,0.0,-0.564,-93.946,0.0,False
ETHFIUSDT,2025-01-16 23:00:00+09:00,2.0185,2.0236,2.0019,2.0222,67374.1,0.0,0.00025,0.662,-38.794,0.0,False
ETHUSDT,2025-01-16 23:00:00+09:00,3327.25,3332.95,3313.25,3332.11,12059.56,0.0,0.000411,-0.529,-74.955,0.0,False
ETHWUSDT,2025-01-16 23:00:00+09:00,3.148,3.154,3.13,3.148,3531.37,0.0,0.0001,0.032,-49.783,0.0,False
FARTCOINUSDT,2025-01-16 23:00:00+09:00,1.2318,1.2535,1.2206,1.2506,1802998.0,0.0,0.0001,0.2,-82.647,0.0,False
FBUSDT,2025-01-16 23:00:00+09:00,2.041,2.044,2.016,2.043,7639.6,0.0,0.001162,-2.575,-67.531,0.0,False
FDUSDUSDT,2025-01-16 23:00:00+09:00,0.9987,0.999,0.9987,0.9989,1016.0,0.0,0.0001,-0.01,-70.838,0.0,False
FIDAUSDT,2025-01-16 23:00:00+09:00,0.2277,0.2288,0.2265,0.2288,94032.0,0.0,0.00051,-0.392,-86.095,0.0,False
FILUSDT,2025-01-16 23:00:00+09:00,5.555,5.578,5.538,5.575,46214.5,0.0,0.000388,1.585,-78.145,0.0,False
FIOUSDT,2025-01-16 23:00:00+09:00,0.03764,0.03773,0.03744,0.03767,44220.0,0.0,0.0001,0.053,-82.315,0.0,False
FIREUSDT,2025-01-16 23:00:00+09:00,0.3015,0.3036,0.3,0.3018,39468.3,0.0,0.0001,-3.855,-88.533,0.0,False
FLMUSDT,2025-01-16 23:00:00+09:00,0.06971,0.06994,0.06939,0.06994,311617.0,0.0,0.000802,0.287,-67.978,0.0,False
FLOCKUSDT,2025-01-16 23:00:00+09:00,0.1951,0.1953,0.1918,0.1953,1013618.0,0.0,5e-05,-3.651,-67.475,0.0,False
FLOWUSDT,2025-01-16 23:00:00+09:00,0.7729,0.7749,0.769,0.7749,66018.3,0.0,0.0001,1.202,-86.513,0.0,False
FLRUSDT,2025-01-16 23:00:00+09:00,0.02628,0.02638,0.02611,0.02621,1005670.0,0.0,0.0001,-0.531,-86.88,0.0,False
FLUXUSDT,2025-01-16 23:00:00+09:00,0.5766,0.5779,0.573,0.5761,8298.0,0.0,0.000208,-0.191,-88.746,0.0,False
FORTHUSDT,2025-01-16 23:00:00+09:00,5.3564,5.3637,5.3239,5.3617,1122.9,0.0,0.0001,-0.058,-82.198,0.0,False
FOXYUSDT,2025-01-16 23:00:00+09:00,0.009975,0.010032,0.009909,0.010032,1542140.0,0.0,0.000445,-1.046,-85.725,0.0,False
FTNUSDT,2025-01-16 23:00:00+09:00,3.8316,3.8338,3.8315,3.8315,374.1,0.0,0.000185,-0.138,-81.361,0.0,False
FUELUSDT,2025-01-16 23:00:00+09:00,0.04934,0.04997,0.04878,0.04981,2516600.0,0.0,5e-05,0.708,-87.364,0.0,False
FUSDT,2025-01-16 23:00:00+09:00,0.03821,0.03835,0.03812,0.03834,219045.0,0.0,0.0001,-0.234,-87.216,0.0,False
