symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
BLASTUSDT,2025-01-04 17:30:00+09:00,0.0096,0.009627,0.009589,0.009596,2167910.0,510797680.0,0.0001,-0.683,29.485,-0.999
BLUEUSDT,2025-01-04 17:30:00+09:00,0.4344,0.44796,0.4332,0.44455,506760.0,3477351.0,0.0001,4.01,529.631,4.486
BLURUSDT,2025-01-04 17:30:00+09:00,0.2729,0.2736,0.2723,0.2724,239390.0,65611612.0,0.0001,-1.518,27.007,-0.201
BNBUSDT,2025-01-04 17:30:00+09:00,715.35,716.35,714.25,714.25,584.87,171853.16,0.0001,-0.508,32.564,-0.533
BNTUSDT,2025-01-04 17:30:00+09:00,0.7314,0.7336,0.73085,0.73085,1244.0,1044799.0,0.0001,-0.787,13.733,1.944
BNXUSDT,2025-01-04 17:30:00+09:00,0.4376,0.4386,0.4364,0.4364,18387.0,8035937.0,0.0001,-1.289,51.332,0.582
BOBAUSDT,2025-01-04 17:30:00+09:00,0.21361,0.21391,0.21257,0.21322,79712.1,6335075.0,0.0001,-1.063,64.238,1.047
BOMEUSDT,2025-01-04 17:30:00+09:00,0.006951,0.006967,0.00693,0.006933,16342100.0,2988606500.0,0.0001,-1.464,-1.644,-0.168
BRETTUSDT,2025-01-04 17:30:00+09:00,0.14841,0.14908,0.14817,0.14817,692350.0,272640430.0,0.0001,-0.53,-13.838,-0.097
BSVUSDT,2025-01-04 17:30:00+09:00,56.94,57.32,56.94,57.29,1681.91,51392.31,0.0001,-0.07,-21.63,-0.608
BSWUSDT,2025-01-04 17:30:00+09:00,0.08084,0.08099,0.08038,0.08038,83364.0,10685316.0,0.0001,-1.302,254.305,-1.368
BTCUSDT,2025-01-04 17:30:00+09:00,98142.2,98235.0,98105.5,98105.5,183.295,61729.335,0.0001,-0.132,1.084,-0.116
C98USDT,2025-01-04 17:30:00+09:00,0.1846,0.185,0.1843,0.1843,38007.2,25257632.0,0.0001,-1.074,15.458,0.263
CAKEUSDT,2025-01-04 17:30:00+09:00,2.843,2.849,2.831,2.832,17886.5,4025985.7,0.0001,-2.007,254.318,-0.699
CARVUSDT,2025-01-04 17:30:00+09:00,0.9188,0.9205,0.9172,0.9179,11193.0,10321558.0,-0.000373,-0.401,-1.417,-0.502
CATIUSDT,2025-01-04 17:30:00+09:00,0.3956,0.3965,0.3943,0.3943,154687.0,16402330.0,0.0001,-1.818,44.413,-1.358
CELOUSDT,2025-01-04 17:30:00+09:00,0.7148,0.7165,0.7136,0.7136,42122.1,6877436.1,0.0001,-0.834,-12.256,-0.369
CELRUSDT,2025-01-04 17:30:00+09:00,0.02082,0.02087,0.02073,0.02073,596474.0,179397542.0,0.0001,-1.707,-0.014,-0.315
CETUSUSDT,2025-01-04 17:30:00+09:00,0.38042,0.38502,0.38034,0.38195,413696.0,14770869.0,0.0001,0.126,72.973,2.431
CFXUSDT,2025-01-04 17:30:00+09:00,0.17428,0.17467,0.17381,0.17381,80168.0,38430797.0,0.0001,-1.356,-13.574,0.275
CHESSUSDT,2025-01-04 17:30:00+09:00,0.2071,0.2076,0.2068,0.2068,23547.0,6271801.0,0.0001,-1.289,35.317,0.41
CHILLGUYUSDT,2025-01-04 17:30:00+09:00,0.2464,0.2489,0.2449,0.246,4219341.0,112305524.0,0.0001,-0.726,-29.234,-2.59
CHRUSDT,2025-01-04 17:30:00+09:00,0.2542,0.255,0.2537,0.2538,18771.6,12144167.3,0.0001,-1.207,32.536,0.189
CHZUSDT,2025-01-04 17:30:00+09:00,0.0929,0.09308,0.09261,0.09261,452395.0,98608631.0,-0.000132,-1.353,36.176,0.129
CKBUSDT,2025-01-04 17:30:00+09:00,0.012619,0.012639,0.012589,0.012589,1160810.0,313575050.0,0.0001,-1.185,-45.399,0.018
CLOUDUSDT,2025-01-04 17:30:00+09:00,0.2001,0.201,0.2001,0.2002,83650.0,10622787.0,-0.000945,-0.793,26.172,1.2
COMBOUSDT,2025-01-04 17:30:00+09:00,0.4788,0.4804,0.4782,0.4782,6799.2,775086.2,0.0001,-1.158,548.601,-4.664
COMPUSDT,2025-01-04 17:30:00+09:00,84.31,84.52,84.1,84.13,311.85,83539.71,0.0001,-1.058,230.809,-0.739
COOKUSDT,2025-01-04 17:30:00+09:00,0.0292,0.02935,0.02913,0.02913,79930.0,51885610.0,0.0001,-0.308,-11.084,-0.424
