symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
FLOCKUSDT,2025-01-19 23:30:00,0.1526,0.1527,0.1511,0.1516,65018.0,10217721.0,5e-05,-0.329,-81.465,2.627,True,True
FLOWUSDT,2025-01-19 23:30:00,0.7442,0.7442,0.7374,0.7414,100474.4,11217360.6,0.0001,1.701,10.611,-1.067,False,False
FLRUSDT,2025-01-19 23:30:00,0.0282,0.02823,0.02807,0.02822,935370.0,142097590.0,0.0001,1.22,-38.166,-1.23,False,False
FLUXUSDT,2025-01-19 23:30:00,0.5553,0.5553,0.5492,0.5528,10733.0,1950783.0,0.000626,1.618,-73.614,-1.087,False,False
FORTHUSDT,2025-01-19 23:30:00,4.892,4.9009,4.8423,4.8711,638.4,161010.79999999,0.0001,1.736,-88.002,0.869,False,False
FOXYUSDT,2025-01-19 23:30:00,0.008797,0.008803,0.008682,0.008734,3526580.0,329903950.0,0.0001,1.041,-82.265,-1.678,False,False
FTNUSDT,2025-01-19 23:30:00,3.8145,3.8145,3.8116,3.8116,28.6,173437.79999999,0.0001,-0.013,-93.392,-0.481,True,True
FUELUSDT,2025-01-19 23:30:00,0.04252,0.0426,0.04197,0.04232,2025020.0,88520900.0,5e-05,1.853,56.147,-0.24,False,False
FUSDT,2025-01-19 23:30:00,0.04743,0.04766,0.04691,0.04746,1231155.0,42963110.0,0.0001,-1.78,-24.242,0.241,False,False
FWOGUSDT,2025-01-19 23:30:00,0.17041,0.17041,0.16704,0.1675,153059.0,43465973.0,0.001563,-4.286,-87.92,2.706,False,False
FXSUSDT,2025-01-19 23:30:00,3.1785,3.179,3.142,3.1555,18092.24,1201870.62,0.0001,1.889,-49.555,-0.957,False,False
GALAUSDT,2025-01-19 23:30:00,0.0367,0.03676,0.03627,0.03648,18382849.0,975076304.0,0.0001,1.644,-56.175,-0.351,False,False
GASUSDT,2025-01-19 23:30:00,4.98,4.983,4.929,4.953,20068.4,800189.0,0.0001,0.732,1.292,-3.076,False,False
GEMSUSDT,2025-01-19 23:30:00,0.08578,0.0858,0.08482,0.0855,22132.0,3888298.0,0.0001,2.175,-76.315,-0.38,False,False
GIGAUSDT,2025-01-19 23:30:00,0.06949,0.06965,0.06851,0.06925,824110.0,57315640.0,0.0001,-0.331,-65.356,-1.098,True,True
GLMRUSDT,2025-01-19 23:30:00,0.20695,0.20705,0.2047,0.20575,51395.0,9185507.6,0.000119,1.756,-35.959,1.371,False,False
GLMUSDT,2025-01-19 23:30:00,0.36973,0.36977,0.36595,0.36794,107659.0,7195104.0,-0.000629,1.074,-47.084,-1.505,False,False
GMEUSDT,2025-01-19 23:30:00,0.002633,0.002633,0.002603,0.002612,1295590.0,282732550.0,0.001065,-1.397,-73.107,7.142,False,False
GMTUSDT,2025-01-19 23:30:00,0.1206,0.1206,0.1194,0.1201,2715952.0,192086010.0,0.0001,1.866,-74.775,2.996,False,False
GMXUSDT,2025-01-19 23:30:00,24.13,24.165,23.835,23.975,779.91,198288.44,0.0001,1.589,-40.917,0.075,False,False
GNOUSDT,2025-01-19 23:30:00,244.7,244.7,242.89,243.33,17.218,1237.309,0.0001,3.386,-70.116,5.197,False,False
GOATUSDT,2025-01-19 23:30:00,0.2915,0.2916,0.2863,0.2876,2009787.0,121622138.0,0.001283,-0.416,-22.545,1.083,True,True
GODSUSDT,2025-01-19 23:30:00,0.1751,0.1752,0.1734,0.1744,19851.0,3976029.0,0.0001,1.573,-73.769,0.034,False,False
GOMININGUSDT,2025-01-19 23:30:00,0.51471,0.51515,0.51458,0.51513,22698.0,881991.0,0.0001,-0.644,-69.718,-3.294,False,False
GRASSUSDT,2025-01-19 23:30:00,2.517,2.5176,2.486,2.4896,61621.0,11955998.0,0.000779,-2.296,-62.059,-0.466,False,False
GRIFFAINUSDT,2025-01-19 23:30:00,0.53305,0.5361,0.5249,0.53198,680534.0,27413848.0,0.0001,-4.931,-66.041,2.105,False,False
GRTUSDT,2025-01-19 23:30:00,0.21412,0.21412,0.21164,0.21296,460771.3,61608922.8,0.0001,1.202,-89.139,-0.439,False,False
